Name	CR	Alignment	Size	Base_Speed	Fly_Speed	Swim_Speed	Source	Type	subtype1	subtype2	subtype3	subtype4	subtype5	subtype6
Aasimar	0.50	NG	Medium	30	20	0	PFRPG Bestiary	outsider	native					
Abaia	10	N	Huge	20	0	80	PFRPG Bestiary 4	magical beast	aquatic					
Aballonian	7	N	Medium	40	0	0	Distant Worlds	construct						
Abasheen Genie	1.00	N	Large	20	0	0	Tome of Horrors Complete	outsider	air	extraplanar				
Aberrant	2.00	NE	Large	20	0	0	Tome of Horrors Complete	humanoid	giant					
Aboleth	1.00	LE	Huge	10	0	60	PFRPG Bestiary	aberration	aquatic					
Abrikandilu	3	CE	Medium	30	0	0	The Worldwound	outsider	chaotic	demon	evil	extraplanar		
Abyss Gigas	16	CE	Gargantuan	60	0	0	The Witchwar Legacy	humanoid	chaotic	evil	extraplanar	giant		
Abyssal Harvester	17	CE	Gargantuan	20	0	0	Tome of Horrors Complete	aberration	chaotic	evil	extraplanar			
Abyssal Larva	1	CE	Medium	20	0	0	Tome of Horrors Complete	outsider	chaotic	evil extraplanar				
Abyssal Wolf	1.00	CE	Large	50	0	0	Tome of Horrors Complete	magical beast	chaotic	evil	extraplanar			
Accuser	1.00	LE	Small	20	60	0	PFRPG Bestiary 2	outsider	devil	evil	extraplanar	lawful		
Achaierai	1.00	LE	Large	50	0	0	PFRPG Bestiary 2	outsider	evil	extraplanar	lawful			
Adamantine Cobra	1.00	N	Small	40	0	0	d20pfsrd	construct						
Adamantine Golem	1.00	N	Huge	30	0	0	PFRPG Bestiary 2	construct						
Adamantine Wasp Swarm	2.00	N	Fine	5	0	0	Tome of Horrors Complete	construct	swarm					
Adaro	3.00	NE	Medium	10	0	50	PFRPG Bestiary 3	monstrous humanoid	aquatic					
Addath	3.00	CE	Huge	40	0	0	Tome of Horrors 4	aberration						
Addu	3.00	N	Gargantuan	10	0	60	AP 60	magical beast	aquatic					
Adherer	3.00	LE	Medium	30	0	0	PFRPG Bestiary 3	monstrous humanoid						
Adherer	3.00	LE	Medium	30	0	0	Tome of Horrors Complete	aberration						
Adhukait	3.00	LE	Medium	40	0	0	PFRPG Bestiary 3	outsider	asura	evil	extraplanar	lawful		
Adlet	4.00	CN	Medium	40	0	0	PFRPG Bestiary 3	humanoid	adlet	cold				
Adult Black Dragon	4.00	CE	Large	60	200	60	PFRPG Bestiary	dragon	water					
Adult Blue Dragon	4.00	LE	Huge	40	200	0	PFRPG Bestiary	dragon	earth					
Adult Brass Dragon	5.00	CG	Large	60	200	0	PFRPG Bestiary	dragon	fire					
Adult Brine Dragon	5.00	LN	Large	60	200	60	PFRPG Bestiary 2	dragon	extraplanar	water				
Adult Bronze Dragon	5.00	LG	Huge	40	200	60	PFRPG Bestiary	dragon	water					
Adult Cloud Dragon	6.00	N	Huge	40	0	0	Tome of Horrors Complete	dragon	air					
Adult Cloud Dragon	6.00	CN	Huge	40	200	0	PFRPG Bestiary 2	dragon	air	extraplanar				
Adult Copper Dragon	7.00	CG	Large	40	200	0	PFRPG Bestiary	dragon	earth					
Adult Crystal Dragon	8.00	CG	Large	60	0	0	PFRPG Bestiary 2	dragon	earth	extraplanar				
Adult Dungeon Dragon	9	N	Large	30	0	0	Tome of Horrors Complete	dragon	shapechanger					
Adult Forest Dragon	14	CE	Huge	40	200	0	PFRPG Bestiary 3	dragon	earth					
Adult Gold Dragon	15	LG	Huge	60	250	60	PFRPG Bestiary	dragon	fire					
Adult Gray Dragon	10	NE	Large	60	0	40	Tome of Horrors 4	dragon	water					
Adult Green Dragon	1.00	LE	Huge	40	200	40	PFRPG Bestiary	dragon	air					
Adult Lunar Dragon	2.00	CN	Huge	40	200	0	PFRPG Bestiary 4	dragon						
Adult Magma Dragon	3.00	CN	Large	40	200	0	PFRPG Bestiary 2	dragon	extraplanar	fire				
Adult Mist Dragon	11	N	Huge	40	0	20	Tome of Horrors Complete	dragon	air	fire	water			
Adult Red Dragon	14	CE	Huge	40	200	0	PFRPG Bestiary	dragon	fire					
Adult Sea Dragon	12	CG	Huge	40	0	80	PFRPG Bestiary 3	dragon	water					
Adult Silver Dragon	14	LG	Huge	40	200	0	PFRPG Bestiary	dragon	cold					
Adult Sky Dragon	13	LG	Huge	40	0	0	PFRPG Bestiary 3	dragon	air					
Adult Solar Dragon	13	LN	Huge	50	0	0	PFRPG Bestiary 4	dragon	fire					
Adult Sovereign Dragon	15	N	Huge	50	0	0	PFRPG Bestiary 3	dragon						
Adult Time Dragon	15	N	Huge	50	0	0	PFRPG Bestiary 4	dragon						
Adult Umbral Dragon	14	CE	Huge	40	0	0	PFRPG Bestiary 2	dragon	extraplanar					
Adult Underworld Dragon	11	LE	Large	40	200	0	PFRPG Bestiary 3	dragon	fire					
Adult Void Dragon	13	NE	Huge	40	0	0	PFRPG Bestiary 4	dragon						
Adult Vortex Dragon	14	LN	Huge	60	0	0	PFRPG Bestiary 4	dragon	fire					
Adult White Dragon	10	CE	Large	30	200	60	PFRPG Bestiary	dragon	cold					
Advodaza Devil	18	LE	Huge	40	80	0	AP 30	outsider	devil	evil	extraplanar	lawful		
Aerial Servant	11	N	Medium	0	60	0	TOH1	outsider	elemental	air				
Aerial Servant	11	N	Medium	60	60	0	Tome of Horrors Complete	outsider	air	elemental	extraplanar			
Aeshma Demon	11	CE	Large	40	0	0	Tome of Horrors Complete	outsider	chaotic	demon	evil	extraplanar		
Afanc	17	N	Colossal	5	0	60	Tome of Horrors Complete	magical beast	aquatic					
Agathion	4	NG	Medium	30	0	60	AP 61	outsider	aquatic	extraplanar	good			
Aghash	4	NE	Medium	30	0	0	PFRPG Bestiary 3	outsider	div	evil	extraplanar			
Aghasura	11	LE	Huge	35	0	20	PFRPG Bestiary 3	outsider	asura	evil	extraplanar	lawful		
Agyra	27	CN	Colossal	80	200	0	PFRPG Bestiary 4	magical beast	air	kaiju				
Ahlinni	4	CN	Medium	40	0	0	Tome of Horrors Complete	magical beast						
Ahuizotl	6	NE	Large	30	0	50	PFRPG Bestiary 3	magical beast	aquatic					
Air Elemental Construct	13	N	Huge	0	100	0	Tome of Horrors Complete	construct	air	elemental	extraplanar			
Akata	1	N	Medium	40	0	0	PFRPG Bestiary 2	aberration						
Akhana	12	N	Medium	30	40	0	PFRPG Bestiary 2	outsider	aeon	extraplanar				
Akhlut	13	N	Huge	40	0	60	PFRPG Bestiary 3	magical beast	cold	shapechanger				
Akvan	20	NE	Gargantuan	50	0	0	PFRPG Bestiary 3	outsider	div	evil	extraplanar			
Al-mi'raj	0.50	N	Small	40	0	0	Tome of Horrors Complete	magical beast						
Al-Mi'raj	1	N	Small	40	0	0	TOH1	magical beast						
Alastor	25	LE	Large	40	0	0	Tome of Horrors Complete	outsider	devil	evil	extraplanar	lawful		
Albino Cave Solifugid	4	N	Medium	50	0	0	PFRPG Bestiary 2	vermin						
Albino Cave Spider	0.50	N	Tiny	20	0	0	Tome of Horrors 4	vermin						
Alchemical Golem	9	N	Large	30	0	0	PFRPG Bestiary 2	construct						
Algant	7	NG	Huge	10	0	30	Tome of Horrors 4	plant	aquatic					
Algidarch	5	CE	Large	40	0	0	Tome of Horrors 4	humanoid	cold	giant				
Algoid	4	N	Medium	20	0	0	TOH1	plant						
Algoid	4	N	Medium	20	0	0	Tome of Horrors Complete	plant	fungus	psionic				
Allip	3	CE	Medium	0	30	0	PFRPG Bestiary 3	undead	incorporeal					
Allosaurus	7	N	Huge	50	0	0	PFRPG Bestiary 2	animal						
Almiraj	1	N	Small	30	0	0	PFRPG Bestiary 4	magical beast						
Alpluachra	0.50	CN	Diminutive	10	0	10	PFRPG Bestiary 4	fey	aquatic					
Alraune	13	NE	Large	40	0	0	PFRPG Bestiary 3	plant						
Alu-Demon	3	CE	Medium	30	0	0	Tome of Horrors Complete	outsider	chaotic	demon	evil	extraplanar		
Aluum	10	N	Large	30	0	0	Inner Sea World Guide	construct						
Amaimon Devil	8	LE	Large	40	0	0	Tome of Horrors Complete	outsider	devil	evil	extraplanar	lawful		
Amalgamation	20	N	Gargantuan	10	0	0	Tome of Horrors 4	construct						
Amber Ooze	1	N	Diminutive	10	0	0	Tome of Horrors Complete	ooze						
Amber Skeleton	6	N	Medium	30	0	0	Tome of Horrors 4	construct						
Amoeba Swarm	1	N	Fine	10	0	20	PFRPG Bestiary 2	ooze	swarm					
Amoeba, Giant	1	N	Small	10	0	20	PFRPG Bestiary 2	ooze	aquatic					
